"","y0_1","y0_2","fY.1000"
"225",4.5,-2.5,0.00246153259530568
"226",5,-2.5,0.00223703449521094
"227",5.5,-2.5,0.0019823924184514
"228",6,-2.5,0.00171794560340923
"229",6.5,-2.5,0.00144541763109638
"230",7,-2.5,0.00119379492552272
"231",7.5,-2.5,0.000957842822413386
"232",8,-2.5,0.000743499075150386
"233",8.5,-2.5,0.000597164285080209
"234",9,-2.5,0.000438158329584665
"235",9.5,-2.5,0.00030554940727223
"236",10,-2.5,0.000223677452026757
"237",10.5,-2.5,0.000167791472603306
"238",11,-2.5,0.000116445135216287
"239",11.5,-2.5,6.91977509313256e-05
"240",12,-2.5,4.00608679922692e-05
"241",12.5,-2.5,2.29120221218385e-05
"242",13,-2.5,1.20429802571095e-05
"243",13.5,-2.5,6.20508689316927e-06
"244",14,-2.5,3.46452610019192e-06
"245",14.5,-2.5,2.27117881089067e-06
"246",15,-2.5,1.70554960449452e-06
"247",-5,-2,0.000109382759719896
"248",-4.5,-2,0.000171827071985482
"249",-4,-2,0.000271359372430293
"250",-3.5,-2,0.000410267100884005
"251",-3,-2,0.000606636966811301
"252",-2.5,-2,0.000877071489930706
"253",-2,-2,0.00113980771281103
"254",-1.5,-2,0.00148301550104033
"255",-1,-2,0.00178895712741613
"256",-0.5,-2,0.00208782654782938
"257",0,-2,0.0025367479196567
"258",0.5,-2,0.00299280016277378
"259",1,-2,0.00334107885911803
"260",1.5,-2,0.00367551793587221
"261",2,-2,0.0039138957235007
"262",2.5,-2,0.00410799778510623
"263",3,-2,0.00422553664274684
"264",3.5,-2,0.00424886731534709
"265",4,-2,0.00419116879889703
"266",4.5,-2,0.00393486856082373
"267",5,-2,0.00361141477850892
"268",5.5,-2,0.00317638577982935
"269",6,-2,0.00279195463404002
"270",6.5,-2,0.00238754847193183
"271",7,-2,0.0019541160206732
"272",7.5,-2,0.00157844436075635
"273",8,-2,0.00123437856877797
"274",8.5,-2,0.000956891143825497
"275",9,-2,0.000722348500514848
"276",9.5,-2,0.000520343386178224
"277",10,-2,0.000370637800044322
"278",10.5,-2,0.000268538751376902
"279",11,-2,0.000184742147058887
"280",11.5,-2,0.000121662277522049
"281",12,-2,7.37064332111306e-05
"282",12.5,-2,4.36691199070804e-05
"283",13,-2,2.45236495296672e-05
"284",13.5,-2,1.35616792796646e-05
"285",14,-2,7.89679623729267e-06
"286",14.5,-2,4.99644581224916e-06
"287",15,-2,3.35532994393955e-06
"288",-5,-1.5,0.00015233744041583
"289",-4.5,-1.5,0.000239230231591957
"290",-4,-1.5,0.000374239343734376
"291",-3.5,-1.5,0.000571336642292885
"292",-3,-1.5,0.000874336286752778
"293",-2.5,-1.5,0.00127201197865586
"294",-2,-1.5,0.00162964558658382
"295",-1.5,-1.5,0.00208571320679751
"296",-1,-1.5,0.00254782260064516
"297",-0.5,-1.5,0.0030409608693515
"298",0,-1.5,0.00367053930403822
"299",0.5,-1.5,0.00435838154205871
"300",1,-1.5,0.00494382044922046
"301",1.5,-1.5,0.00544283009676166
"302",2,-1.5,0.00580303056580635
"303",2.5,-1.5,0.00608343084887309
"304",3,-1.5,0.00625538904516004
"305",3.5,-1.5,0.00626344534800192
"306",4,-1.5,0.00623199590420838
"307",4.5,-1.5,0.00596501764103543
"308",5,-1.5,0.00547050834961051
"309",5.5,-1.5,0.00487010784342082
"310",6,-1.5,0.00440554079724464
"311",6.5,-1.5,0.00379281379697642
"312",7,-1.5,0.00307220451866506
"313",7.5,-1.5,0.00248250333505839
"314",8,-1.5,0.00197217533270977
"315",8.5,-1.5,0.0015168005613664
"316",9,-1.5,0.00117358921637318
"317",9.5,-1.5,0.000878755102951116
"318",10,-1.5,0.000602630420718037
"319",10.5,-1.5,0.000411065781376652
"320",11,-1.5,0.000288733791998792
"321",11.5,-1.5,0.000206989726713567
"322",12,-1.5,0.000129823553757885
"323",12.5,-1.5,7.48187408534825e-05
"324",13,-1.5,4.44893720677525e-05
"325",13.5,-1.5,2.61637398952358e-05
"326",14,-1.5,1.557472436634e-05
"327",14.5,-1.5,9.36823630959748e-06
"328",15,-1.5,5.62354967428388e-06
"329",-5,-1,0.000213688770680218
"330",-4.5,-1,0.00033334312184777
"331",-4,-1,0.000501325820059755
"332",-3.5,-1,0.00076070861435575
"333",-3,-1,0.00115760133948783
"334",-2.5,-1,0.00164630686890831
"335",-2,-1,0.00211463938138155
"336",-1.5,-1,0.0027121093079655
"337",-1,-1,0.00336527141493697
"338",-0.5,-1,0.00414195564311435
"339",0,-1,0.0050715101919726
"340",0.5,-1,0.00602052690523288
"341",1,-1,0.0068875072846505
"342",1.5,-1,0.00764824395236039
"343",2,-1,0.00822314851155634
"344",2.5,-1,0.00862625615900271
"345",3,-1,0.0088554637409664
"346",3.5,-1,0.00887120688134463
"347",4,-1,0.00884753990689696
"348",4.5,-1,0.00850039772761921
"349",5,-1,0.00786479472376166
"350",5.5,-1,0.0070739184453997
"351",6,-1,0.00633047298488756
"352",6.5,-1,0.00548300519596084
"353",7,-1,0.00455383569192142
"354",7.5,-1,0.00370983049627831
"355",8,-1,0.00296441183074421
"356",8.5,-1,0.00227440888169686
"357",9,-1,0.00169998832865477
"358",9.5,-1,0.00126532324100248
"359",10,-1,0.000892186058010541
"360",10.5,-1,0.000604829137770537
"361",11,-1,0.000425361064224793
"362",11.5,-1,0.000295161956751846
"363",12,-1,0.000194291065233358
"364",12.5,-1,0.000117608503030481
"365",13,-1,7.21973628434132e-05
"366",13.5,-1,4.44290851983514e-05
"367",14,-1,2.67895043570012e-05
"368",14.5,-1,1.53857139054848e-05
"369",15,-1,8.44174775881949e-06
"370",-5,-0.5,0.000277070720595415
"371",-4.5,-0.5,0.000427536867669492
"372",-4,-0.5,0.000636605007048289
"373",-3.5,-0.5,0.000960313096982625
"374",-3,-0.5,0.00142567372353776
"375",-2.5,-0.5,0.00193379855520073
"376",-2,-0.5,0.00254885951924685
"377",-1.5,-0.5,0.00330910891507701
"378",-1,-0.5,0.00421156787426241
"379",-0.5,-0.5,0.00527674315805059
"380",0,-0.5,0.0065494230899112
"381",0.5,-0.5,0.0078796921114506
"382",1,-0.5,0.00910898559791532
"383",1.5,-0.5,0.010145820854634
"384",2,-0.5,0.0109878193129266
"385",2.5,-0.5,0.0116497812674883
"386",3,-0.5,0.0120510145064612
"387",3.5,-0.5,0.0121233580181356
"388",4,-0.5,0.0120015268845286
"389",4.5,-0.5,0.0116139286623646
"390",5,-0.5,0.01091020158218
"391",5.5,-0.5,0.00980660694842451
"392",6,-0.5,0.00860876503795036
"393",6.5,-0.5,0.00744058090392198
"394",7,-0.5,0.00634859885196964
"395",7.5,-0.5,0.00516996946388659
"396",8,-0.5,0.00414927757000899
"397",8.5,-0.5,0.00316911779525215
"398",9,-0.5,0.00234954814656774
"399",9.5,-0.5,0.00172803746665463
"400",10,-0.5,0.00126071858402954
"401",10.5,-0.5,0.000890596658462698
"402",11,-0.5,0.000641148079806448
"403",11.5,-0.5,0.000418424345390106
"404",12,-0.5,0.000272737017997501
"405",12.5,-0.5,0.000173073633403839
"406",13,-0.5,0.000106611933138361
"407",13.5,-0.5,6.72401125779818e-05
"408",14,-0.5,4.10930629714477e-05
"409",14.5,-0.5,2.31681645082981e-05
"410",15,-0.5,1.21935367328556e-05
"411",-5,0,0.000320922412433025
"412",-4.5,0,0.000513423543297684
"413",-4,0,0.000781152566757707
"414",-3.5,0,0.00115551557413185
"415",-3,0,0.00165602437752101
"416",-2.5,0,0.00225455097680694
"417",-2,0,0.0030310937714606
"418",-1.5,0,0.00388866108578907
"419",-1,0,0.00504078416137012
"420",-0.5,0,0.00633489770955661
"421",0,0,0.00776537081932102
"422",0.5,0,0.00946629842956564
"423",1,0,0.0111919921808523
"424",1.5,0,0.0125656214842542
"425",2,0,0.0137252849827218
"426",2.5,0,0.0147387642961537
"427",3,0,0.0154070651555735
"428",3.5,0,0.0156488402727745
"429",4,0,0.0154484619675598
"430",4.5,0,0.0149169299720399
"431",5,0,0.0139985715065933
"432",5.5,0,0.0127449558265842
"433",6,0,0.0112606024688652
"434",6.5,0,0.00976340636742503
"435",7,0,0.00827696644220403
"436",7.5,0,0.00678740533740902
"437",8,0,0.00550452726910877
"438",8.5,0,0.00426942928400609
"439",9,0,0.00322161130547561
"440",9.5,0,0.00237639672075733
"441",10,0,0.00171694243823843
"442",10.5,0,0.00123333025027525
"443",11,0,0.000874166439807868
"444",11.5,0,0.000576923421864454
"445",12,0,0.000368204183084378
"446",12.5,0,0.000234645555665556
"447",13,0,0.000145970749149477
"448",13.5,0,9.25629190904103e-05
"449",14,0,5.68878847268156e-05
"450",14.5,0,3.21161447631234e-05
"451",15,0,1.69651661429383e-05
"452",-5,0.5,0.000359350402876761
"453",-4.5,0.5,0.000572935359974711
"454",-4,0.5,0.000880857500407661
"455",-3.5,0.5,0.00129417706818099
"456",-3,0.5,0.00184537875742788
"457",-2.5,0.5,0.00254060465688674
"458",-2,0.5,0.00343083143861598
"459",-1.5,0.5,0.00445891797285477
"460",-1,0.5,0.00577657997637348
