"","x0","fx.n_100","fx.n_1000","fx.true"
"1576",10.75,0.0144192581827426,0.0123364629482111,0.0105798839452225
"1577",10.76,0.014331619528507,0.0122549104593328,0.0105007732945724
"1578",10.77,0.0142443895158126,0.0121738483796005,0.0104221383884047
"1579",10.78,0.0141575660045382,0.0120932694942294,0.0103439774050027
"1580",10.79,0.0140711472264599,0.0120131666468536,0.0102662885205637
"1581",10.8,0.0139851318230171,0.0119335327510049,0.0101890699092952
"1582",10.81,0.0138995188808849,0.0118543607999413,0.0101123197435105
"1583",10.82,0.0138143079645763,0.0117756438748366,0.0100360361937246
"1584",10.83,0.0137294991452491,0.0116973751513671,0.00996021742874786
"1585",10.84,0.0136450930248619,0.0116195479047453,0.00988486161578043
"1586",10.85,0.0135610907547901,0.0115421555132719,0.00980996692050551
"1587",10.86,0.0134774940480036,0.0114651914604916,0.00973553150718197
"1588",10.87,0.0133943051839069,0.0113886493360544,0.00966155353873647
"1589",10.88,0.0133115270049567,0.0113125228353981,0.00958803117685485
"1590",10.89,0.0132291629042124,0.0112368057583774,0.00951496258207301
"1591",10.9,0.013147216803028,0.0111614920069783,0.00944234591386705
"1592",10.91,0.0130656931181747,0.0110865755822613,0.0093701793307429
"1593",10.92,0.0129845967177865,0.0110120505806855,0.00929846099032517
"1594",10.93,0.0129039328656481,0.010937911189968,0.00922718904944553
"1595",10.94,0.0128237071534976,0.0108641516846368,0.00915636166423034
"1596",10.95,0.0127439254211919,0.010790766421433,0.00908597699018771
"1597",10.96,0.012664593664787,0.010717749834719,0.00901603318229392
"1598",10.97,0.0125857179328032,0.0106450964320431,0.00894652839507915
"1599",10.98,0.0125073042111923,0.0105728007900066,0.00887746078271265
"1600",10.99,0.0124293582977774,0.0105008575505699,0.00880882849908724
"1601",11,0.0123518856672106,0.0104292614179284,0.00874062969790316
"1602",11.01,0.0122748913277667,0.0103580071560749,0.00867286253275132
"1603",11.02,0.012198379671573,0.0102870895871533,0.0086055251571959
"1604",11.03,0.0121223543201465,0.0102165035906995,0.00853861572485621
"1605",11.04,0.0120468179673739,0.0101462441038436,0.00847213238948817
"1606",11.05,0.0119717722223092,0.0100763061225405,0.00840607330506479
"1607",11.06,0.0118972174543852,0.0100066847038738,0.00834043662585641
"1608",11.07,0.0118231526438114,0.00993737496946581,0.00827522050650988
"1609",11.08,0.0117495752400771,0.00986837211000791,0.00821042310212749
"1610",11.09,0.0116764810315662,0.00979967139091052,0.00814604256834501
"1611",11.1,0.0116038640293328,0.0097312681590546,0.00808207706140911
"1612",11.11,0.0115317163680593,0.00966315785061169,0.00801852473825433
"1613",11.12,0.0114600282271349,0.00959533599988307,0.00795538375657909
"1614",11.13,0.0113887877746373,0.00952779824909533,0.00789265227492144
"1615",11.14,0.0113179811367726,0.00946054035907443,0.00783032845273379
"1616",11.15,0.0112475923950415,0.00939355822070888,0.00776841045045729
"1617",11.16,0.0111776036130329,0.00932684786709978,0.00770689642959539
"1618",11.17,0.0111079948943253,0.00926040548628631,0.00764578455278689
"1619",11.18,0.0110387444724941,0.009194227434425,0.00758507298387827
"1620",11.19,0.0109698288336882,0.0091283102492943,0.00752475988799531
"1621",11.2,0.0109012228716684,0.00906265066398957,0.0074648434316143
"1622",11.21,0.0108329000745933,0.0089972456206684,0.00740532178263233
"1623",11.22,0.0107648327422186,0.00893209228420417,0.00734619311043721
"1624",11.23,0.0106969922315471,0.00886718805560262,0.00728745558597646
"1625",11.24,0.0106293492283516,0.00880253058503768,0.00722910738182599
"1626",11.25,0.0105618740413987,0.00873811778436281,0.00717114667225788
"1627",11.26,0.0104945369156494,0.00867394783895781,0.00711357163330759
"1628",11.27,0.0104273083602105,0.00861001921877516,0.00705638044284065
"1629",11.28,0.0103601594863816,0.00854633068845471,0.00699957128061852
"1630",11.29,0.0102930623507869,0.0084828813163836,0.00694314232836407
"1631",11.3,0.0102259902983186,0.00841967048258451,0.00688709176982606
"1632",11.31,0.0101589182994612,0.00835669788532609,0.00683141779084346
"1633",11.32,0.0100918232765035,0.0082939635463572,0.00677611857940861
"1634",11.33,0.0100246844132066,0.00823146781467919,0.00672119232573025
